product_id,name,price,quantity,category,description,production_date,expiration_date,status
1,Мука пшеничная,3108,35,Бакалея,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",1995-03-03,2019-04-04,On Backorder
2,Куриные ножки,7138,721,Мясо,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2014-01-26,2020-03-16,Sold
3,Новошахтинская,6205,158,Напитки,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2005-03-13,2029-03-01,In Stock
5,Сметана,370,532,Молочные продукты,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2010-08-10,2018-01-17,Cancelled
6,Каша из пшена,1389,945,Бакалея,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1994-09-06,2021-01-01,Available for Pickup
7,Кабачок,674,206,Овощи,Подходит для использования в диетических программах для похудения.,2017-06-05,2018-06-17,Pending
8,Масала чай,6904,902,Напитки,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2011-03-04,2025-11-01,Awaiting Payment
11,Вяленое мясо,3543,843,Мясо,Способствует поддержанию нормальной микрофлоры кишечника.,2007-05-03,2009-03-02,Available for Pickup
12,Мускатный орех молотый,5583,206,Бакалея,"Является источником витаминов группы B, необходимых для энергетического обмена.",2008-01-13,2010-04-19,Awaiting Payment
13,Каша из дробленной овсянки,5860,861,Бакалея,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2012-06-11,2025-03-01,Returned
14,Брокколи,7366,414,Овощи,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1992-03-17,1994-02-03,In Stock
15,Ряженка,6946,595,Молочные продукты,Помогает улучшить когнитивные функции и память.,2012-02-06,2023-01-22,Available for Pickup
16,Ласси,4470,434,Молочные продукты,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2007-05-07,2015-10-18,Awaiting Payment
18,Чеддер,2367,61,Молочные продукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1990-03-19,2020-04-01,Sold
19,Кокосовая вода,5251,231,Напитки,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2007-04-01,2016-01-03,Sold
20,Телятина,2773,857,Мясо,"Отличается приятным ароматом, который усиливает аппетит.",2008-04-02,2029-07-09,Delivered
22,Чечевица,5992,427,Овощи,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",1994-10-16,2016-02-20,Temporarily Unavailable
23,Пиво безалкогольное,1046,125,Напитки,Придает блюдам особую нежность и насыщенность.,1995-02-04,2029-03-17,Delivered
24,Бекон,1082,319,Мясо,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2006-02-05,2012-04-10,Awaiting Payment
25,Свекла,761,340,Овощи,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2013-01-12,2020-02-03,Awaiting Review
26,Мандарин,1813,71,Фрукты,Отличается удобством использования и экономичностью в расходе.,2017-07-13,2022-05-04,Sold
27,Зефир,1332,645,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2000-04-03,2028-05-06,Refunded
28,Камут,6402,684,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,1991-02-06,2016-04-10,Pending
29,Йогурт,2047,498,Молочные продукты,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2022-01-03,2027-05-08,Refunded
30,Манго,8538,342,Фрукты,Помогает поддерживать нормальный уровень сахара в крови.,2001-02-02,2030-03-02,In Stock
32,Творог,248,453,Молочные продукты,Помогает поддерживать нормальный уровень энергии и выносливости.,2014-04-04,2020-09-06,Available for Pickup
33,Скалки,3671,34,Товары для дома,Является неотъемлемой частью рациона многих народов мира.,2022-03-21,2026-01-17,Cancelled
36,Папайя,7637,573,Фрукты,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2019-01-05,2022-06-02,Temporarily Unavailable
37,Свекла,8086,71,Овощи,Часто рекомендуется врачами-диетологами как часть здорового питания.,2006-01-17,2029-07-11,Cancelled
38,Корица молотая,9729,79,Бакалея,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",1995-02-01,2020-02-01,Awaiting Review
39,Пакеты бумажные,894,541,Товары для дома,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2019-05-01,2028-04-15,Refunded
40,Сорго,2359,372,Бакалея,"Подходит для приготовления как горячих, так и холодных блюд.",1996-05-03,2016-01-19,Available for Pickup
41,Адлеркурортная,7506,777,Напитки,Поддерживает иммунитет и общее состояние здоровья.,1990-02-01,2030-01-20,Temporarily Unavailable
42,Каша из теффа,5032,845,Бакалея,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2002-04-10,2013-07-08,On Backorder
43,Партенит,7439,959,Напитки,Помогает укреплять стенки сосудов и улучшать кровообращение.,2000-03-03,2028-03-03,Available for Pickup
45,Adrenaline Rush,8323,552,Напитки,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2003-06-08,2016-08-05,Available for Pickup
46,Каша из дробленной ржаной крупы,159,710,Бакалея,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2008-02-01,2024-01-26,Temporarily Unavailable
47,Нижнесергиевская,5797,100,Напитки,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",1990-01-12,2012-06-01,Available for Pickup
48,Киви,4677,476,Фрукты,"Является источником важных микроэлементов, таких как магний и калий.",2019-02-04,2028-12-15,Temporarily Unavailable
49,Пармезан,3876,3,Молочные продукты,Помогает поддерживать нормальный уровень сахара в крови.,2001-03-04,2003-03-27,Pending
50,Шницель,3385,379,Мясо,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2013-01-02,2017-05-11,Cancelled
51,Нектарин,3931,655,Фрукты,Помогает поддерживать нормальный уровень гемоглобина в крови.,2014-03-01,2023-04-18,Temporarily Unavailable
52,Абрикос,8315,983,Фрукты,Служит основой для создания множества кулинарных шедевров.,1994-09-11,2010-02-01,Out of Stock
53,Пакеты для благотворительного мероприятия,6528,239,Товары для дома,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2012-04-09,2030-03-07,Out of Stock
54,Сэндвичи с ветчиной,9264,90,Мясо,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2015-04-16,2020-02-17,Temporarily Unavailable
55,Корейка,1064,427,Мясо,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2007-01-05,2018-05-05,Awaiting Payment
56,Пастрома,9868,875,Мясо,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2022-08-16,2024-06-02,Out of Stock
57,Кабачок,3733,863,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2000-08-03,2018-07-12,Awaiting Review
58,Нектарин,7370,993,Фрукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-07-03,2022-05-04,Out of Stock
59,Крымская,5987,162,Напитки,Подходит для использования в специализированных диетах и лечебных программах.,1999-02-10,2007-02-26,Out of Stock
60,Озеро Медвежье,2531,214,Напитки,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2002-06-03,2025-01-25,New
61,Варенец,869,36,Молочные продукты,"Отличается длительным сроком годности, что позволяет делать запасы.",2003-01-24,2005-02-27,In Stock
64,Пахта,5267,350,Молочные продукты,"Отличается приятным ароматом, который усиливает аппетит.",2016-06-01,2027-04-07,Awaiting Review
65,Фенхель,5278,631,Овощи,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",1995-05-01,2027-01-04,Refunded
