Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
1,Каша из дробленной полентовой крупы,5011,965,Бакалея,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2012-02-03,2022-01-03,4.93,Pending
2,Папайя,2654,564,Фрукты,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2016-05-02,2016-06-09,4.09,Out of Stock
3,Катык,9112,507,Молочные продукты,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,1996-04-07,2013-01-15,4.64,Cancelled
4,Пакеты для театра,987,333,Товары для дома,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2011-03-02,2017-01-10,3.02,Backorder
5,Кострец,5134,47,Мясо,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2021-08-03,2029-08-03,4.18,Shipping
6,Рамбутан,2318,397,Фрукты,Является неотъемлемой частью рациона многих народов мира.,2020-02-03,2024-04-13,0.43,In Stock
7,Сок яблочный,7779,671,Напитки,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2019-08-05,2022-03-04,0.22,Cancelled
8,Мандарин,7309,189,Фрукты,Придает блюдам особую нежность и насыщенность.,2013-09-02,2020-02-02,0.09,Returned
9,Папайя,2435,68,Фрукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2004-02-09,2016-01-03,4.65,Awaiting Payment
10,Чеснок,7762,633,Овощи,Является важным компонентом рациона для поддержания гормонального баланса.,1996-01-09,2013-01-14,4.42,Refunded
11,Чай черный,7123,119,Напитки,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,1990-04-02,2008-02-02,0.04,Available for Pickup
12,Крыжовник,944,375,Фрукты,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2009-03-04,2009-04-11,4.29,Temporarily Unavailable
13,Курица,428,987,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2001-01-09,2016-01-03,3.7,Backorder
14,Геркулес,1273,591,Бакалея,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2019-02-18,2028-05-19,1.25,Temporarily Unavailable
15,Пастрома,9605,617,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2007-04-05,2021-03-04,1.43,Delivered
16,Гель для душа,6028,28,Товары для дома,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2014-08-03,2025-01-12,4.1,On Backorder
