product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Мука пшеничная,3108,35,Бакалея,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",1995-03-03,2019-04-04,0.7,On Backorder
2,Куриные ножки,7138,721,Мясо,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2014-01-26,2020-03-16,2.71,Sold
3,Новошахтинская,6205,158,Напитки,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2005-03-13,2029-03-01,1.1,In Stock
4,Волгодонская,6078,432,Напитки,Может быть использован в выпечке для придания ей особой пышности и аромата.,2018-03-09,2022-07-07,2.51,Shipping
5,Сметана,370,532,Молочные продукты,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2010-08-10,2018-01-17,4.63,Cancelled
6,Каша из пшена,1389,945,Бакалея,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1994-09-06,2021-01-01,0.8,Available for Pickup
7,Кабачок,674,206,Овощи,Подходит для использования в диетических программах для похудения.,2017-06-05,2018-06-17,2.39,Pending
8,Масала чай,6904,902,Напитки,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2011-03-04,2025-11-01,4.57,Awaiting Payment
9,Майонез,3720,387,Бакалея,Является важным компонентом рациона для поддержания гормонального баланса.,2009-03-03,2025-02-09,1.57,Shipping
10,Огурец,2224,6,Овощи,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2015-02-03,2020-09-10,4.83,Shipping
11,Вяленое мясо,3543,843,Мясо,Способствует поддержанию нормальной микрофлоры кишечника.,2007-05-03,2009-03-02,1.89,Available for Pickup
12,Мускатный орех молотый,5583,206,Бакалея,"Является источником витаминов группы B, необходимых для энергетического обмена.",2008-01-13,2010-04-19,1.82,Awaiting Payment
13,Каша из дробленной овсянки,5860,861,Бакалея,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2012-06-11,2025-03-01,3.68,Returned
14,Брокколи,7366,414,Овощи,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1992-03-17,1994-02-03,0.35,In Stock
15,Ряженка,6946,595,Молочные продукты,Помогает улучшить когнитивные функции и память.,2012-02-06,2023-01-22,3.78,Available for Pickup
16,Ласси,4470,434,Молочные продукты,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2007-05-07,2015-10-18,4.76,Awaiting Payment
17,Каша из камута,4672,386,Бакалея,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2018-04-10,2025-05-11,2.62,Shipping
18,Чеддер,2367,61,Молочные продукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1990-03-19,2020-04-01,3.83,Sold
19,Кокосовая вода,5251,231,Напитки,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2007-04-01,2016-01-03,1.17,Sold
20,Телятина,2773,857,Мясо,"Отличается приятным ароматом, который усиливает аппетит.",2008-04-02,2029-07-09,4.68,Delivered
21,Укроп,2544,606,Овощи,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2013-01-19,2019-01-11,4.1,Shipping
22,Чечевица,5992,427,Овощи,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",1994-10-16,2016-02-20,2.44,Temporarily Unavailable
23,Пиво безалкогольное,1046,125,Напитки,Придает блюдам особую нежность и насыщенность.,1995-02-04,2029-03-17,1.64,Delivered
24,Бекон,1082,319,Мясо,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2006-02-05,2012-04-10,0.28,Awaiting Payment
25,Свекла,761,340,Овощи,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2013-01-12,2020-02-03,4.12,Awaiting Review
26,Мандарин,1813,71,Фрукты,Отличается удобством использования и экономичностью в расходе.,2017-07-13,2022-05-04,0.12,Sold
27,Зефир,1332,645,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2000-04-03,2028-05-06,1.95,Refunded
28,Камут,6402,684,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,1991-02-06,2016-04-10,0.31,Pending
